16:02:56.104 [main] DEBUG oct1_log4jframework.LogfileImpl - i am from debug
16:02:56.115 [main] ERROR oct1_log4jframework.LogfileImpl - i am from error
16:02:56.115 [main] INFO  oct1_log4jframework.LogfileImpl - i am from info
16:02:56.115 [main] FATAL oct1_log4jframework.LogfileImpl - i am from fatal===
16:03:29.115 [main] INFO  oct1_log4jframework.LogfileImpl - This is onStart method : C:\automation\eclipse workspace\Sep-Selenium\test-output\Suite
16:03:42.318 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : ContactUsTest001
16:03:42.318 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:42.360 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:03:42.368 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:44.974 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:03:44.974 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:03:45.007 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:03:45.028 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //select[@id='id_contact']
16:03:45.049 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //select[@id='id_contact']
16:03:45.145 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='email']
16:03:45.170 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='email']
16:03:45.290 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.id: id_order
16:03:45.312 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.id: id_order
16:03:45.413 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //textarea[@id='message']
16:03:45.444 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //textarea[@id='message']
16:03:45.567 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: submitMessage
16:03:45.589 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: submitMessage
16:03:45.589 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
